esame,day,hoursStart,hoursEnd
0,0,2,3
0,2,8,9
1,4,7,8
1,0,2,3
2,0,3,4
2,2,2,3
3,0,4,5
3,4,8,9
4,0,6,7
4,2,6,7
5,0,6,7
5,4,1,2
6,0,8,9
6,4,8,9
7,0,3,4 
7,1,3,4
8,1,0,1
8,2,0,1
9,1,0,1
9,2,0,1
10,1,0,2
11,1,2,3
11,2,2,3
12,1,2,3
12,3,1,3 
13,1,5,6
13,3,5,6
14,1,5,6 
14,4,2,3
15,2,0,3
16,2,2,3
16,3,2,3
17,2,3,4
17,4,3,4
18,2,5,8
19,2,6,9
20,0,0,1
20,2,0,1
21,2,6,7
21,3,0,1
22,2,7,8
22,3,7,8
23,3,2,3
23,4,5,7
24,3,5,6
24,4,7,8 
25,3,5,6
25,4,8,9





